picture_file,n_en,n_de,n_fr,adj_en,adj_de,adj_fr
"PICTURE_680_LITTLE.jpg","bow","Bogen","arc","little","kleiner","petit"
"PICTURE_338_LITTLE.jpg","present","Geschenk","cadeau","little","kleines","petit"
"PICTURE_707_LITTLE.jpg","dog","Hund","chien","little","kleiner","petit"
"PICTURE_559_LITTLE.jpg","cucumber","Gurke","concombre","little","kleine","petit"
"PICTURE_17_LITTLE.jpg","devil","Teufel","diable","little","kleiner","petit"
"PICTURE_579_LITTLE.jpg","elephant","Elefant","éléphant","little","kleiner","petit"
"PICTURE_152_LITTLE.jpg","snail","Schnecke","escargot","little","kleine","petit"
"PICTURE_365_LITTLE.jpg","hedgehog","Igel","hérisson","little","kleiner","petit"
"PICTURE_115_LITTLE.jpg","hippo","Nilpferd","hippopotame","little","kleines","petit"
"PICTURE_691_LITTLE.jpg","man","Mann","homme","little","kleiner","petit"
"PICTURE_241_LITTLE.jpg","eye","Auge","oeil","little","kleines","petit"
"PICTURE_196_LITTLE.jpg","computer","Computer","ordinateur","little","kleiner","petit"
"PICTURE_487_LITTLE.jpg","basket","Korb","panier","little","kleiner","petit"
"PICTURE_351_LITTLE.jpg","butterfly","Schmetterling","papillon","little","kleiner","petit"
"PICTURE_661_LITTLE.jpg","drawer","Schublade","tiroir","little","kleine","petit"
"PICTURE_510_LITTLE.jpg","face","Gesicht","visage","little","kleines","petit"
"PICTURE_405_LITTLE.jpg","anchor","Anker","ancre","little","kleiner","petite"
"PICTURE_38_LITTLE.jpg","spider","Spinne","araignée","little","kleine","petite"
"PICTURE_299_LITTLE.jpg","ostrich","Strauß","autruche","little","kleiner","petite"
"PICTURE_343_LITTLE.jpg","bottle","Flasche","bouteille","little","kleine","petite"
"PICTURE_569_LITTLE.jpg","tooth","Zahn","dent","little","kleiner","petite"
"PICTURE_9_LITTLE.jpg","shower","Dusche","douche","little","kleine","petite"
"PICTURE_447_LITTLE.jpg","star","Stern","étoile","little","kleiner","petite"
"PICTURE_585_LITTLE.jpg","ant","Ameise","fourmi","little","kleine","petite"
"PICTURE_236_LITTLE.jpg","giraffe","Giraffe","girafe","little","kleine","petite"
"PICTURE_605_LITTLE.jpg","harp","Harfe","harpe","little","kleine","petite"
"PICTURE_260_LITTLE.jpg","island","Insel","île","little","kleine","petite"
"PICTURE_580_LITTLE.jpg","nurse","Krankenschwester","infirmière","little","kleine","petite"
"PICTURE_8_LITTLE.jpg","leg","Bein","jambe","little","kleines","petite"
"PICTURE_35_LITTLE.jpg","ear","Ohr","oreille","little","kleines","petite"
"PICTURE_148_LITTLE.jpg","pipe","Pfeife","pipe","little","kleine","petite"
"PICTURE_319_LITTLE.jpg","cow","Kuh","vache","little","kleine","petite"
