picture_file_adj_fam,n_en,n_de,n_fr,adj_en,adj_de,adj_fr,continue_text_de,continue_text_en,continue_text_fr,n_foil_en,n_foil_de,n_foil_fr,correct_noun,ver_n_de,ver_n_en,ver_n_fr
"PICTURE_152_BIG.jpg","snail","Schnecke","escargot","big","große","grand","DrückenSiedieLeertasteumfortzufahren","Pressthespacebartocontinue","Appuyezsurlabarred'espacepourcontinuer","pipe","Pfeife","pipe","TRUE","Schnecke","snail","escargot"
"PICTURE_152_NEW.jpg","snail","Schnecke","escargot","new","neue","nouvel","DrückenSiedieLeertasteumfortzufahren","Pressthespacebartocontinue","Appuyezsurlabarred'espacepourcontinuer","harp","Harfe","harpe","TRUE","Schnecke","snail","escargot"
"PICTURE_152_LITTLE.jpg","snail","Schnecke","escargot","little","kleine","petit","DrückenSiedieLeertasteumfortzufahren","Pressthespacebartocontinue","Appuyezsurlabarred'espacepourcontinuer","dog","Hund","chien","TRUE","Schnecke","snail","escargot"
"PICTURE_152_OLD.jpg","snail","Schnecke","escargot","old","alte","vieil","DrückenSiedieLeertasteumfortzufahren","Pressthespacebartocontinue","Appuyezsurlabarred'espacepourcontinuer","ostrich","Strauß","autruche","TRUE","Schnecke","snail","escargot"
"PICTURE_661_BIG.jpg","drawer","Schublade","tiroir","big","große","grand","DrückenSiedieLeertasteumfortzufahren","Pressthespacebartocontinue","Appuyezsurlabarred'espacepourcontinuer","ant","Ameise","fourmi","TRUE","Schublade","drawer","tiroir"
"PICTURE_661_NEW.jpg","drawer","Schublade","tiroir","new","neue","nouveau","DrückenSiedieLeertasteumfortzufahren","Pressthespacebartocontinue","Appuyezsurlabarred'espacepourcontinuer","elephant","Elefant","éléphant","TRUE","Schublade","drawer","tiroir"
"PICTURE_661_LITTLE.jpg","drawer","Schublade","tiroir","little","kleine","petit","DrückenSiedieLeertasteumfortzufahren","Pressthespacebartocontinue","Appuyezsurlabarred'espacepourcontinuer","butterfly","Schmetterling","papillon","TRUE","Schublade","drawer","tiroir"
"PICTURE_661_OLD.jpg","drawer","Schublade","tiroir","old","alte","vieux","DrückenSiedieLeertasteumfortzufahren","Pressthespacebartocontinue","Appuyezsurlabarred'espacepourcontinuer","nurse","Krankenschwester","infirmière","TRUE","Schublade","drawer","tiroir"
"PICTURE_260_BIG.jpg","island","Insel","île","big","große","grande","DrückenSiedieLeertasteumfortzufahren","Pressthespacebartocontinue","Appuyezsurlabarred'espacepourcontinuer","ostrich","Strauß","autruche","TRUE","Insel","island","île"
"PICTURE_260_NEW.jpg","island","Insel","île","new","neue","nouvelle","DrückenSiedieLeertasteumfortzufahren","Pressthespacebartocontinue","Appuyezsurlabarred'espacepourcontinuer","snail","Schnecke","escargot","TRUE","Insel","island","île"
"PICTURE_260_LITTLE.jpg","island","Insel","île","little","kleine","petite","DrückenSiedieLeertasteumfortzufahren","Pressthespacebartocontinue","Appuyezsurlabarred'espacepourcontinuer","hippo","Nilpferd","hippopotame","TRUE","Insel","island","île"
"PICTURE_260_OLD.jpg","island","Insel","île","old","alte","vieille","DrückenSiedieLeertasteumfortzufahren","Pressthespacebartocontinue","Appuyezsurlabarred'espacepourcontinuer","leg","Bein","jambe","TRUE","Insel","island","île"
