session,subj,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_pretrain,picture_file
Pretrain,S01,1,Burg-rot,Burg,rot,13,LFP,SN,cblock,building,Burg-rot,burg_rot.png
Pretrain,S01,2,Hemd-weiss,Hemd,weiss,27,HFP,SN,cblock,clothing,Hemd-weiss,hemd_weiss.png
Pretrain,S01,3,Feder-weiss,Feder,weiss,20,HFP,SN,cblock,etc,Feder-weiss,feder_weiss.png
Pretrain,S01,4,Apfel-rot,Apfel,rot,1,HFP,SP,cblock,food,Apfel-rot,apfel_rot.png
Pretrain,S01,5,Baum-gruen,Baum,gruen,3,HFP,SN,cblock,nature,Baum-gruen,baum_gruen.png
Pretrain,S01,6,Bett-gruen,Bett,gruen,4,LFP,SP,cblock,furniture,Bett-gruen,bett_gruen.png
Pretrain,S01,7,Frau-schwarz,Frau,schwarz,23,HFP,SN,cblock,human,Frau-schwarz,frau_schwarz.png
Pretrain,S01,8,Topf-schwarz,Topf,schwarz,56,LFP,SN,cblock,tool,Topf-schwarz,topf_schwarz.png
Pretrain,S01,9,Blatt-gruen,Blatt,gruen,6,HFP,SP,cblock,nature,Blatt-gruen,blatt_gruen.png
Pretrain,S01,10,Bus-schwarz,Bus,schwarz,14,LFP,SP,cblock,transportation,Bus-schwarz,bus_schwarz.png
Pretrain,S01,11,Dach-rot,Dach,rot,15,HFP,SN,cblock,building,Dach-rot,dach_rot.png
Pretrain,S01,12,Hose-schwarz,Hose,schwarz,29,HFP,SN,cblock,clothing,Hose-schwarz,hose_schwarz.png
Pretrain,S01,13,Flagge-schwarz,Flagge,schwarz,21,HFP,SP,cblock,etc,Flagge-schwarz,flagge_schwarz.png
Pretrain,S01,14,Pflanze-rot,Pflanze,rot,45,LFP,SP,cblock,nature,Pflanze-rot,pflanze_rot.png
Pretrain,S01,15,Ei-gruen,Ei,gruen,16,LFP,SP,cblock,food,Ei-gruen,ei_gruen.png
Pretrain,S01,16,Fabrik-rot,Fabrik,rot,18,LFP,SN,cblock,building,Fabrik-rot,fabrik_rot.png
Pretrain,S01,17,Hut-schwarz,Hut,schwarz,30,HFP,SP,cblock,clothing,Hut-schwarz,hut_schwarz.png
Pretrain,S01,18,Wolke-rot,Wolke,rot,60,LFP,SP,cblock,nature,Wolke-rot,wolke_rot.png
Pretrain,S01,19,Tisch-gruen,Tisch,gruen,54,HFP,SN,cblock,furniture,Tisch-gruen,tisch_gruen.png
Pretrain,S01,20,Mauer-gruen,Mauer,gruen,40,LFP,SN,cblock,building,Mauer-gruen,mauer_gruen.png
Pretrain,S01,21,Kleid-weiss,Kleid,weiss,35,HFP,SP,cblock,clothing,Kleid-weiss,kleid_weiss.png
Pretrain,S01,22,Wueste-rot,Wueste,rot,61,LFP,SP,cblock,nature,Wueste-rot,wueste_rot.png
Pretrain,S01,23,Mann-gruen,Mann,gruen,38,LFP,SP,cblock,human,Mann-gruen,mann_gruen.png
Pretrain,S01,24,Nest-gruen,Nest,gruen,41,LFP,SN,cblock,building,Nest-gruen,nest_gruen.png
Pretrain,S01,25,Flugzeug-weiss,Flugzeug,weiss,22,LFP,SN,cblock,transportation,Flugzeug-weiss,flugzeug_weiss.png
Pretrain,S01,26,Mantel-schwarz,Mantel,schwarz,39,HFP,SN,cblock,clothing,Mantel-schwarz,mantel_schwarz.png
Pretrain,S01,27,Zeitung-schwarz,Zeitung,schwarz,62,LFP,SN,cblock,etc,Zeitung-schwarz,zeitung_schwarz.png
Pretrain,S01,28,Turm-weiss,Turm,weiss,58,LFP,SP,cblock,building,Turm-weiss,turm_weiss.png
