session,subj,trialNr,itemNr,phrase_item,adj,noun,condition_phrFreq,condition_exposure,blocktype,category,phrase_pretrain,picture_file
pretrain,S01,1,15,Dach-rot,Dach,rot,HFP,SN,cblock,building,Dach-rot,dach_rot.png
,S01,2,29,Hose-schwarz,Hose,schwarz,HFP,SN,cblock,clothing,Hose-schwarz,hose_schwarz.png
,S01,3,20,Feder-weiss,Feder,weiss,HFP,SN,cblock,etc,Feder-weiss,feder_weiss.png
,S01,4,1,Apfel-rot,Apfel,rot,HFP,SP,cblock,food,Apfel-rot,apfel_rot.png
,S01,5,3,Baum-gruen,Baum,gruen,HFP,SN,cblock,nature,Baum-gruen,baum_gruen.png
,S01,6,4,Bett-gruen,Bett,gruen,LFP,SP,cblock,furniture,Bett-gruen,bett_gruen.png
,S01,7,23,Frau-schwarz,Frau,schwarz,HFP,SN,cblock,human,Frau-schwarz,frau_schwarz.png
,S01,8,56,Topf-schwarz,Topf,schwarz,LFP,SN,cblock,tool,Topf-schwarz,topf_schwarz.png
,S01,9,6,Blatt-gruen,Blatt,gruen,HFP,SP,cblock,nature,Blatt-gruen,blatt_gruen.png
,S01,10,14,Bus-schwarz,Bus,schwarz,LFP,SP,cblock,transportation,Bus-schwarz,bus_schwarz.png
,S01,11,58,Turm-weiss,Turm,weiss,LFP,SP,cblock,building,Turm-weiss,turm_weiss.png
,S01,12,30,Hut-schwarz,Hut,schwarz,HFP,SP,cblock,clothing,Hut-schwarz,hut_schwarz.png
,S01,13,21,Flagge-schwarz,Flagge,schwarz,HFP,SP,cblock,etc,Flagge-schwarz,flagge_schwarz.png
,S01,14,45,Pflanze-rot,Pflanze,rot,LFP,SP,cblock,nature,Pflanze-rot,pflanze_rot.png
,S01,15,16,Ei-gruen,Ei,gruen,LFP,SP,cblock,food,Ei-gruen,ei_gruen.png
,S01,16,18,Fabrik-rot,Fabrik,rot,LFP,SP,cblock,building,Fabrik-rot,fabrik_rot.png
,S01,17,35,Kleid-weiss,Kleid,weiss,HFP,SP,cblock,clothing,Kleid-weiss,kleid_weiss.png
,S01,18,60,Wolke-rot,Wolke,rot,LFP,SP,cblock,nature,Wolke-rot,wolke_rot.png
,S01,19,54,Tisch-gruen,Tisch,gruen,HFP,SN,cblock,furniture,Tisch-gruen,tisch_gruen.png
,S01,20,26,Haus-schwarz,Haus,schwarz,LFP,SN,cblock,building,Haus-schwarz,haus_schwarz.png
,S01,21,39,Mantel-schwarz,Mantel,schwarz,HFP,SN,cblock,clothing,Mantel-schwarz,mantel_schwarz.png
,S01,22,61,Wueste-rot,Wueste,rot,LFP,SP,cblock,nature,Wueste-rot,wueste_rot.png
,S01,23,38,Mann-gruen,Mann,gruen,LFP,SP,cblock,human,Mann-gruen,mann_gruen.png
,S01,24,40,Mauer-gruen,Mauer,gruen,LFP,SN,cblock,building,Mauer-gruen,mauer_gruen.png
,S01,25,22,Flugzeug-weiss,Flugzeug,weiss,LFP,SP,cblock,transportation,Flugzeug-weiss,flugzeug_weiss.png
,S01,26,50,Schuh-rot,Schuh,rot,HFP,SN,cblock,clothing,Schuh-rot,schuh_rot.png
,S01,27,62,Zeitung-schwarz,Zeitung,schwarz,LFP,SN,cblock,etc,Zeitung-schwarz,zeitung_schwarz.png
,S01,28,41,Nest-gruen,Nest,gruen,LFP,SN,cblock,building,Nest-gruen,nest_gruen.png
,S01,29,65,Zweig-weiss,Zweig,weiss,LFP,SP,cblock,nature,Zweig-weiss,zweig_weiss.png
