session,subj,trialNr,phrase_item,adj,noun,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train1,picture_file_train1,phrase_train2,picture_file_train2,change csv,picture_file_train3,phrase_train4,picture_file_train4,phrase_train5,picture_file_train5,phrase_train6,picture_file_train6
Train1,S01,1,Burg-rot,Burg,rot,13,LFP,SN,cblock,building,Burg-gross,burg_gross.png,Burg-gruen,burg_gruen.png,Burg-klein,burg_klein.png,Burg-neu,burg_neu.png,Burg-schwarz,burg_schwarz.png,Burg-weiss,burg_weiss.png
Train1,S01,2,Hemd-weiss,Hemd,weiss,27,HFP,SN,cblock,clothing,Hemd-alt,hemd_alt.png,Hemd-gross,hemd_gross.png,Hemd-gruen,hemd_gruen.png,Hemd-neu,hemd_neu.png,Hemd-rot,hemd_rot.png,Hemd-schwarz,hemd_schwarz.png
Train1,S01,3,Feder-weiss,Feder,weiss,20,HFP,SN,cblock,etc,Feder-alt,feder_alt.png,Feder-gruen,feder_gruen.png,Feder-klein,feder_klein.png,Feder-neu,feder_neu.png,Feder-rot,feder_rot.png,Feder-schwarz,feder_schwarz.png
Train1,S01,4,Apfel-rot,Apfel,rot,1,HFP,SP,cblock,food,Apfel-alt,apfel_alt.png,Apfel-gross,apfel_gross.png,Apfel-gruen,apfel_gruen.png,Apfel-klein,apfel_klein.png,Apfel-schwarz,apfel_schwarz.png,Apfel-weiss,apfel_weiss.png
Train1,S01,5,Baum-gruen,Baum,gruen,3,HFP,SN,cblock,nature,Baum-alt,baum_alt.png,Baum-gross,baum_gross.png,Baum-klein,baum_klein.png,Baum-neu,baum_neu.png,Baum-rot,baum_rot.png,Baum-weiss,baum_weiss.png
Train1,S01,6,Bett-gruen,Bett,gruen,4,LFP,SP,cblock,furniture,Bett-alt,bett_alt.png,Bett-klein,bett_klein.png,Bett-neu,bett_neu.png,Bett-rot,bett_rot.png,Bett-schwarz,bett_schwarz.png,Bett-weiss,bett_weiss.png
Train1,S01,7,Frau-schwarz,Frau,schwarz,23,HFP,SN,cblock,human,Frau-alt,frau_alt.png,Frau-gross,frau_gross.png,Frau-gruen,frau_gruen.png,Frau-klein,frau_klein.png,Frau-neu,frau_neu.png,Frau-weiss,frau_weiss.png
Train1,S01,8,Topf-schwarz,Topf,schwarz,56,LFP,SN,cblock,tool,Topf-alt,topf_alt.png,Topf-gruen,topf_gruen.png,Topf-klein,topf_klein.png,Topf-neu,topf_neu.png,Topf-rot,topf_rot.png,Topf-weiss,topf_weiss.png
Train1,S01,9,Blatt-gruen,Blatt,gruen,6,HFP,SP,cblock,nature,Blatt-alt,blatt_alt.png,Blatt-gross,blatt_gross.png,Blatt-klein,blatt_klein.png,Blatt-neu,blatt_neu.png,Blatt-rot,blatt_rot.png,Blatt-weiss,blatt_weiss.png
Train1,S01,10,Bus-schwarz,Bus,schwarz,14,LFP,SP,cblock,transportation,Bus-alt,bus_alt.png,Bus-gross,bus_gross.png,Bus-gruen,bus_gruen.png,Bus-klein,bus_klein.png,Bus-rot,bus_rot.png,Bus-weiss,bus_weiss.png
Train1,S01,11,Dach-rot,Dach,rot,15,HFP,SN,cblock,building,Dach-alt,dach_alt.png,Dach-gross,dach_gross.png,Dach-gruen,dach_gruen.png,Dach-klein,dach_klein.png,Dach-neu,dach_neu.png,Dach-schwarz,dach_schwarz.png
Train1,S01,12,Hose-schwarz,Hose,schwarz,29,HFP,SN,cblock,clothing,Hose-alt,hose_alt.png,Hose-gross,hose_gross.png,Hose-gruen,hose_gruen.png,Hose-neu,hose_neu.png,Hose-rot,hose_rot.png,Hose-weiss,hose_weiss.png
Train1,S01,13,Flagge-schwarz,Flagge,schwarz,21,HFP,SP,cblock,etc,Flagge-gross,flagge_gross.png,Flagge-gruen,flagge_gruen.png,Flagge-klein,flagge_klein.png,Flagge-neu,flagge_neu.png,Flagge-rot,flagge_rot.png,Flagge-weiss,flagge_weiss.png
Train1,S01,14,Pflanze-rot,Pflanze,rot,45,LFP,SP,cblock,nature,Pflanze-alt,pflanze_alt.png,Pflanze-gross,pflanze_gross.png,Pflanze-klein,pflanze_klein.png,Pflanze-neu,pflanze_neu.png,Pflanze-schwarz,pflanze_schwarz.png,Pflanze-weiss,pflanze_weiss.png
Train1,S01,15,Ei-gruen,Ei,gruen,16,LFP,SP,cblock,food,Ei-alt,ei_alt.png,Ei-gross,ei_gross.png,Ei-klein,ei_klein.png,Ei-neu,ei_neu.png,Ei-rot,ei_rot.png,Ei-schwarz,ei_schwarz.png
Train1,S01,16,Fabrik-rot,Fabrik,rot,18,LFP,SN,cblock,building,Fabrik-alt,fabrik_alt.png,Fabrik-gruen,fabrik_gruen.png,Fabrik-klein,fabrik_klein.png,Fabrik-neu,fabrik_neu.png,Fabrik-schwarz,fabrik_schwarz.png,Fabrik-weiss,fabrik_weiss.png
Train1,S01,17,Hut-schwarz,Hut,schwarz,30,HFP,SP,cblock,clothing,Hut-alt,hut_alt.png,Hut-gross,hut_gross.png,Hut-gruen,hut_gruen.png,Hut-neu,hut_neu.png,Hut-rot,hut_rot.png,Hut-weiss,hut_weiss.png
Train1,S01,18,Wolke-rot,Wolke,rot,60,LFP,SP,cblock,nature,Wolke-alt,wolke_alt.png,Wolke-gross,wolke_gross.png,Wolke-gruen,wolke_gruen.png,Wolke-klein,wolke_klein.png,Wolke-neu,wolke_neu.png,Wolke-weiss,wolke_weiss.png
Train1,S01,19,Tisch-gruen,Tisch,gruen,54,HFP,SN,cblock,furniture,Tisch-gross,tisch_gross.png,Tisch-klein,tisch_klein.png,Tisch-neu,tisch_neu.png,Tisch-rot,tisch_rot.png,Tisch-schwarz,tisch_schwarz.png,Tisch-weiss,tisch_weiss.png
Train1,S01,20,Mauer-gruen,Mauer,gruen,40,LFP,SN,cblock,building,Mauer-gross,mauer_gross.png,Mauer-klein,mauer_klein.png,Mauer-neu,mauer_neu.png,Mauer-rot,mauer_rot.png,Mauer-schwarz,mauer_schwarz.png,Mauer-weiss,mauer_weiss.png
Train1,S01,21,Kleid-weiss,Kleid,weiss,35,HFP,SP,cblock,clothing,Kleid-alt,kleid_alt.png,Kleid-gruen,kleid_gruen.png,Kleid-klein,kleid_klein.png,Kleid-neu,kleid_neu.png,Kleid-rot,kleid_rot.png,Kleid-schwarz,kleid_schwarz.png
Train1,S01,22,Wueste-rot,Wueste,rot,61,LFP,SP,cblock,nature,Wueste-alt,wueste_alt.png,Wueste-gruen,wueste_gruen.png,Wueste-klein,wueste_klein.png,Wueste-neu,wueste_neu.png,Wueste-schwarz,wueste_schwarz.png,Wueste-weiss,wueste_weiss.png
Train1,S01,23,Mann-gruen,Mann,gruen,38,LFP,SP,cblock,human,Mann-alt,mann_alt.png,Mann-gross,mann_gross.png,Mann-klein,mann_klein.png,Mann-neu,mann_neu.png,Mann-rot,mann_rot.png,Mann-schwarz,mann_schwarz.png
Train1,S01,24,Nest-gruen,Nest,gruen,41,LFP,SN,cblock,building,Nest-alt,nest_alt.png,Nest-gross,nest_gross.png,Nest-neu,nest_neu.png,Nest-rot,nest_rot.png,Nest-schwarz,nest_schwarz.png,Nest-weiss,nest_weiss.png
Train1,S01,25,Flugzeug-weiss,Flugzeug,weiss,22,LFP,SN,cblock,transportation,Flugzeug-alt,flugzeug_alt.png,Flugzeug-gross,flugzeug_gross.png,Flugzeug-gruen,flugzeug_gruen.png,Flugzeug-klein,flugzeug_klein.png,Flugzeug-rot,flugzeug_rot.png,Flugzeug-schwarz,flugzeug_schwarz.png
Train1,S01,26,Mantel-schwarz,Mantel,schwarz,39,HFP,SN,cblock,clothing,Mantel-gross,mantel_gross.png,Mantel-gruen,mantel_gruen.png,Mantel-klein,mantel_klein.png,Mantel-neu,mantel_neu.png,Mantel-rot,mantel_rot.png,Mantel-weiss,mantel_weiss.png
Train1,S01,27,Zeitung-schwarz,Zeitung,schwarz,62,LFP,SN,cblock,etc,Zeitung-gross,zeitung_gross.png,Zeitung-gruen,zeitung_gruen.png,Zeitung-klein,zeitung_klein.png,Zeitung-neu,zeitung_neu.png,Zeitung-rot,zeitung_rot.png,Zeitung-weiss,zeitung_weiss.png
Train1,S01,28,Turm-weiss,Turm,weiss,58,LFP,SP,cblock,building,Turm-klein,turm_klein.png,Turm-neu,turm_neu.png,Turm-rot,turm_rot.png,Turm-schwarz,turm_schwarz.png,Tuer-rot,tuer_rot.png,Tuer-weiss,tuer_weiss.png
Train1,S01,29,Zweig-weiss,Zweig,weiss,65,LFP,SP,cblock,nature,Zweig-alt,zweig_alt.png,Zweig-gross,zweig_gross.png,Zweig-klein,zweig_klein.png,Zweig-neu,zweig_neu.png,Zweig-rot,zweig_rot.png,Zweig-schwarz,zweig_schwarz.png
Train1,S01,30,Schuh-rot,Schuh,rot,50,HFP,SN,cblock,clothing,Schuh-alt,schuh_alt.png,Schuh-gross,schuh_gross.png,Schuh-gruen,schuh_gruen.png,Schuh-klein,schuh_klein.png,Schuh-neu,schuh_neu.png,Schuh-schwarz,schuh_schwarz.png
Train1,S01,31,Kaffee-schwarz,Kaffee,schwarz,31,HFP,SP,cblock,food,Kaffee-alt,kaffee_alt.png,Kaffee-gross,kaffee_gross.png,Kaffee-gruen,kaffee_gruen.png,Kaffee-klein,kaffee_klein.png,Kaffee-rot,kaffee_rot.png,Kaffee-weiss,kaffee_weiss.png
Train1,S01,32,Tomate-neu,Tomate,neu,55,LFP,SN,ncblock,vegetable,Tomate-alt,tomate_alt.png,Tomate-gross,tomate_gross.png,Tomate-klein,tomate_klein.png,Tomate-rot,tomate_rot.png,Tomate-schwarz,tomate_schwarz.png,Tomate-weiss,tomate_weiss.png
Train1,S01,33,Bild-alt,Bild,alt,5,HFP,SN,ncblock,furniture,Bild-gross,bild_gross.png,Bild-klein,bild_klein.png,Bild-neu,bild_neu.png,Bild-rot,bild_rot.png,Bild-schwarz,bild_schwarz.png,Bild-weiss,bild_weiss.png
Train1,S01,34,Ball-neu,Ball,neu,2,LFP,SP,ncblock,tool,Ball-alt,ball_alt.png,Ball-gross,ball_gross.png,Ball-gruen,ball_gruen.png,Ball-klein,ball_klein.png,Ball-schwarz,ball_schwarz.png,Ball-weiss,ball_weiss.png
Train1,S01,35,Bombe-alt,Bombe,alt,8,LFP,SP,ncblock,etc,Bombe-gross,bombe_gross.png,Bombe-gruen,bombe_gruen.png,Bombe-neu,bombe_neu.png,Bombe-rot,bombe_rot.png,Bombe-schwarz,bombe_schwarz.png,Bombe-weiss,bombe_weiss.png
Train1,S01,36,Rock-klein,Rock,klein,47,LFP,SN,ncblock,clothing,Rock-alt,rock_alt.png,Rock-gross,rock_gross.png,Rock-gruen,rock_gruen.png,Rock-neu,rock_neu.png,Rock-rot,rock_rot.png,Rock-weiss,rock_weiss.png
Train1,S01,37,Brief-gross,Brief,gross,9,LFP,SN,ncblock,tool,Brief-gruen,brief_gruen.png,Brief-klein,brief_klein.png,Brief-neu,brief_neu.png,Brief-rot,brief_rot.png,Brief-schwarz,brief_schwarz.png,Brief-weiss,brief_weiss.png
Train1,S01,38,Brille-neu,Brille,neu,10,HFP,SP,ncblock,etc,Brille-alt,brille_alt.png,Brille-gross,brille_gross.png,Brille-gruen,brille_gruen.png,Brille-rot,brille_rot.png,Brille-schwarz,brille_schwarz.png,Brille-weiss,brille_weiss.png
Train1,S01,39,Haus-alt,Haus,alt,26,HFP,SN,ncblock,building,Haus-gross,haus_gross.png,Haus-gruen,haus_gruen.png,Haus-klein,haus_klein.png,Haus-neu,haus_neu.png,Haus-rot,haus_rot.png,Haus-weiss,haus_weiss.png
Train1,S01,40,Blume-neu,Blume,neu,7,LFP,SP,ncblock,nature,Blume-alt,blume_alt.png,Blume-gross,blume_gross.png,Blume-gruen,blume_gruen.png,Blume-klein,blume_klein.png,Blume-schwarz,blume_schwarz.png,Blume-weiss,blume_weiss.png
Train1,S01,41,Glas-neu,Glas,neu,25,HFP,SN,ncblock,tool,Glas-alt,glas_alt.png,Glas-gross,glas_gross.png,Glas-gruen,glas_gruen.png,Glas-klein,glas_klein.png,Glas-schwarz,glas_schwarz.png,Glas-weiss,glas_weiss.png
Train1,S01,42,Brot-alt,Brot,alt,11,HFP,SN,ncblock,food,Brot-gross,brot_gross.png,Brot-gruen,brot_gruen.png,Brot-klein,brot_klein.png,Brot-rot,brot_rot.png,Brot-schwarz,brot_schwarz.png,Brot-weiss,brot_weiss.png
Train1,S01,43,Buch-neu,Buch,neu,12,HFP,SP,ncblock,etc,Buch-alt,buch_alt.png,Buch-gross,buch_gross.png,Buch-klein,buch_klein.png,Buch-rot,buch_rot.png,Buch-schwarz,buch_schwarz.png,Buch-weiss,buch_weiss.png
Train1,S01,44,Herd-neu,Herd,neu,28,HFP,SP,ncblock,tool,Herd-gross,herd_gross.png,Herd-gruen,herd_gruen.png,Herd-klein,herd_klein.png,Herd-rot,herd_rot.png,Herd-schwarz,herd_schwarz.png,Herd-weiss,herd_weiss.png
Train1,S01,45,Kirche-alt,Kirche,alt,34,HFP,SP,ncblock,building,Kirche-gross,kirche_gross.png,Kirche-gruen,kirche_gruen.png,Kirche-klein,kirche_klein.png,Kirche-neu,kirche_neu.png,Kirche-schwarz,kirche_schwarz.png,Kirche-weiss,kirche_weiss.png
Train1,S01,46,Fahrrad-alt,Fahrrad,alt,19,HFP,SP,ncblock,transportation,Fahrrad-gross,fahrrad_gross.png,Fahrrad-gruen,fahrrad_gruen.png,Fahrrad-neu,fahrrad_neu.png,Fahrrad-rot,fahrrad_rot.png,Fahrrad-schwarz,fahrrad_schwarz.png,Fahrrad-weiss,fahrrad_weiss.png
Train1,S01,47,Geschenk-klein,Geschenk,klein,24,HFP,SP,ncblock,etc,Geschenk-alt,geschenk_alt.png,Geschenk-gross,geschenk_gross.png,Geschenk-gruen,geschenk_gruen.png,Geschenk-rot,geschenk_rot.png,Geschenk-schwarz,geschenk_schwarz.png,Geschenk-weiss,geschenk_weiss.png
Train1,S01,48,Kamera-gross,Kamera,gross,32,LFP,SP,ncblock,tool,Kamera-alt,kamera_alt.png,Kamera-gruen,kamera_gruen.png,Kamera-klein,kamera_klein.png,Kamera-rot,kamera_rot.png,Kamera-schwarz,kamera_schwarz.png,Kamera-weiss,kamera_weiss.png
Train1,S01,49,Palast-gross,Palast,gross,43,HFP,SP,ncblock,building,Palast-alt,palast_alt.png,Palast-gruen,palast_gruen.png,Palast-klein,palast_klein.png,Palast-rot,palast_rot.png,Palast-schwarz,palast_schwarz.png,Palast-weiss,palast_weiss.png
Train1,S01,50,Erde-gross,Erde,gross,17,LFP,SP,ncblock,nature,Erde-alt,erde_alt.png,Erde-gruen,erde_gruen.png,Erde-klein,erde_klein.png,Erde-neu,erde_neu.png,Erde-schwarz,erde_schwarz.png,Erde-weiss,erde_weiss.png
Train1,S01,51,Lampe-gross,Lampe,gross,37,LFP,SN,ncblock,furniture,Lampe-alt,lampe_alt.png,Lampe-gruen,lampe_gruen.png,Lampe-klein,lampe_klein.png,Lampe-neu,lampe_neu.png,Lampe-schwarz,lampe_schwarz.png,Lampe-weiss,lampe_weiss.png
Train1,S01,52,Kerze-klein,Kerze,klein,33,HFP,SP,ncblock,etc,Kerze-gross,kerze_gross.png,Kerze-gruen,kerze_gruen.png,Kerze-neu,kerze_neu.png,Kerze-rot,kerze_rot.png,Kerze-schwarz,kerze_schwarz.png,Kerze-weiss,kerze_weiss.png
Train1,S01,53,Stadion-neu,Stadion,neu,51,HFP,SN,ncblock,building,Stadion-alt,stadion_alt.png,Stadion-gross,stadion_gross.png,Stadion-klein,stadion_klein.png,Stadion-rot,stadion_rot.png,Stadion-schwarz,stadion_schwarz.png,Stadion-weiss,stadion_weiss.png
