session,list1,trialNr,phrase_item,adj,noun,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train1,picture_file
train1,list1,1,Apfel_rot,Apfel,rot,1,HFP,SP,cblock,food,Apfel_rot,apfel_rot.png
train1,list1,2,Bett_gruen,Bett,gruen,4,LFP,SP,cblock,furniture,Bett_gruen,bett_gruen.png
train1,list1,3,Bild_alt,Bild,alt,5,HFP,SN,cblock,furniture,Bild_schwarz,bild_schwarz.png
train1,list1,4,Blatt_gruen,Blatt,gruen,6,HFP,SP,cblock,nature,Blatt_gruen,blatt_gruen.png
train1,list1,5,Brot_alt,Brot,alt,11,HFP,SN,cblock,food,Brot_gruen,brot_gruen.png
train1,list1,6,Bus_schwarz,Bus,schwarz,14,LFP,SP,cblock,transportation,Bus_schwarz,bus_schwarz.png
train1,list1,7,Dach_rot,Dach,rot,15,HFP,SN,cblock,building,Dach_schwarz,dach_schwarz.png
train1,list1,8,Ei_gruen,Ei,gruen,16,LFP,SP,cblock,food,Ei_gruen,ei_gruen.png
train1,list1,9,Feder_weiss,Feder,weiss,20,HFP,SN,cblock,etc,Feder_schwarz,feder_schwarz.png
train1,list1,10,Flagge_schwarz,Flagge,schwarz,21,HFP,SP,cblock,etc,Flagge_schwarz,flagge_schwarz.png
train1,list1,11,Frau_schwarz,Frau,schwarz,23,HFP,SN,cblock,human,Frau_weiss,frau_weiss.png
train1,list1,12,Glas_neu,Glas,neu,25,HFP,SN,cblock,tool,Glas_weiss,glas_weiss.png
train1,list1,13,Hose_schwarz,Hose,schwarz,29,HFP,SN,cblock,clothing,Hose_gruen,hose_gruen.png
train1,list1,14,Hut_schwarz,Hut,schwarz,30,HFP,SP,cblock,clothing,Hut_schwarz,hut_schwarz.png
train1,list1,15,Kaffee_schwarz,Kaffee,schwarz,31,HFP,SP,cblock,food,Kaffee_schwarz,kaffee_schwarz.png
train1,list1,16,Kleid_weiss,Kleid,weiss,35,HFP,SP,cblock,clothing,Kleid_weiss,kleid_weiss.png
train1,list1,17,Lampe_gross,Lampe,gross,37,LFP,SN,cblock,furniture,Lampe_weiss,lampe_weiss.png
train1,list1,18,Mann_gruen,Mann,gruen,38,LFP,SP,cblock,human,Mann_gruen,mann_gruen.png
train1,list1,19,Mantel_schwarz,Mantel,schwarz,39,HFP,SN,cblock,clothing,Mantel_gruen,mantel_gruen.png
train1,list1,20,Nest_gruen,Nest,gruen,41,LFP,SN,cblock,building,Nest_weiss,nest_weiss.png
train1,list1,21,Paket_gross,Paket,gross,42,HFP,SN,cblock,etc,Paket_weiss,paket_weiss.png
train1,list1,22,Pflanze_rot,Pflanze,rot,45,LFP,SP,cblock,nature,Pflanze_rot,pflanze_rot.png
train1,list1,23,Rock_klein,Rock,klein,47,LFP,SN,cblock,clothing,Rock_weiss,rock_weiss.png
train1,list1,24,Schale_alt,Schale,alt,49,LFP,SN,cblock,tool,Schale_gruen,schale_gruen.png
train1,list1,25,Tuer_neu,Tuer,neu,57,HFP,SN,cblock,building,Tuer_gruen,tuer_gruen.png
train1,list1,26,Turm_weiss,Turm,weiss,58,LFP,SP,cblock,building,Turm_weiss,turm_weiss.png
train1,list1,27,Uhr_klein,Uhr,klein,59,LFP,SN,cblock,tool,Uhr_schwarz,uhr_schwarz.png
train1,list1,28,Wolke_rot,Wolke,rot,60,LFP,SP,cblock,nature,Wolke_rot,wolke_rot.png
train1,list1,29,Wueste_rot,Wueste,rot,61,LFP,SP,cblock,nature,Wueste_rot,wueste_rot.png
train1,list1,30,Zeitung_schwarz,Zeitung,schwarz,62,LFP,SN,cblock,etc,Zeitung_weiss,zeitung_weiss.png
train1,list1,31,Zweig_weiss,Zweig,weiss,65,LFP,SP,cblock,nature,Zweig_weiss,zweig_weiss.png
