session,list1,trialNr,phrase_item,adj,noun,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train1,picture_file
train1,list1,32,Ball_neu,Ball,neu,2,LFP,SP,ncblock,tool,Ball_neu,ball_neu.png
train1,list1,33,Baum_gruen,Baum,gruen,3,HFP,SN,ncblock,nature,Baum_klein,baum_klein.png
train1,list1,34,Blume_neu,Blume,neu,7,LFP,SP,ncblock,nature,Blume_neu,blume_neu.png
train1,list1,35,Bombe_alt,Bombe,alt,8,LFP,SP,ncblock,etc,Bombe_alt,bombe_alt.png
train1,list1,36,Brief_gross,Brief,gross,9,LFP,SN,ncblock,tool,Brief_neu,brief_neu.png
train1,list1,37,Brille_neu,Brille,neu,10,HFP,SP,ncblock,etc,Brille_neu,brille_neu.png
train1,list1,38,Buch_neu,Buch,neu,12,HFP,SP,ncblock,etc,Buch_neu,buch_neu.png
train1,list1,39,Burg_rot,Burg,rot,13,LFP,SN,ncblock,building,Burg_klein,burg_klein.png
train1,list1,40,Erde_gross,Erde,gross,17,LFP,SP,ncblock,nature,Erde_gross,erde_gross.png
train1,list1,41,Fabrik_rot,Fabrik,rot,18,LFP,SN,ncblock,building,Fabrik_alt,fabrik_alt.png
train1,list1,42,Fahrrad_alt,Fahrrad,alt,19,HFP,SP,ncblock,transportation,Fahrrad_alt,fahrrad_alt.png
train1,list1,43,Flugzeug_weiss,Flugzeug,weiss,22,LFP,SN,ncblock,transportation,Flugzeug_klein,flugzeug_klein.png
train1,list1,44,Geschenk_klein,Geschenk,klein,24,HFP,SP,ncblock,etc,Geschenk_klein,geschenk_klein.png
train1,list1,45,Haus_alt,Haus,alt,26,HFP,SN,ncblock,building,Haus_klein,haus_klein.png
train1,list1,46,Hemd_weiss,Hemd,weiss,27,HFP,SN,ncblock,clothing,Hemd_gross,hemd_gross.png
train1,list1,47,Herd_neu,Herd,neu,28,HFP,SP,ncblock,tool,Herd_neu,herd_neu.png
train1,list1,48,Kamera_gross,Kamera,gross,32,LFP,SP,ncblock,tool,Kamera_gross,kamera_gross.png
train1,list1,49,Kerze_klein,Kerze,klein,33,HFP,SP,ncblock,etc,Kerze_klein,kerze_klein.png
train1,list1,50,Kirche_alt,Kirche,alt,34,HFP,SP,ncblock,building,Kirche_alt,kirche_alt.png
train1,list1,51,Krone_klein,Krone,klein,36,LFP,SP,ncblock,etc,Krone_klein,krone_klein.png
train1,list1,52,Mauer_gruen,Mauer,gruen,40,LFP,SN,ncblock,building,Mauer_gross,mauer_gross.png
train1,list1,53,Palast_gross,Palast,gross,43,HFP,SP,ncblock,building,Palast_gross,palast_gross.png
train1,list1,54,Pfeil_gross,Pfeil,gross,44,LFP,SN,ncblock,etc,Pfeil_klein,pfeil_klein.png
train1,list1,55,Rad_alt,Rad,alt,46,LFP,SP,ncblock,etc,Rad_alt,rad_alt.png
train1,list1,56,Rose_neu,Rose,neu,48,LFP,SP,ncblock,nature,Rose_neu,rose_neu.png
train1,list1,57,Schuh_rot,Schuh,rot,50,HFP,SN,ncblock,clothing,Schuh_klein,schuh_klein.png
train1,list1,58,Stadion_neu,Stadion,neu,51,HFP,SN,ncblock,building,Stadion_gross,stadion_gross.png
train1,list1,59,Tasse_neu,Tasse,neu,52,LFP,SN,ncblock,tool,Tasse_klein,tasse_klein.png
train1,list1,60,Teppich_klein,Teppich,klein,53,LFP,SN,ncblock,furniture,Teppich_neu,teppich_neu.png
train1,list1,61,Tisch_gruen,Tisch,gruen,54,HFP,SN,ncblock,furniture,Tisch_gross,tisch_gross.png
train1,list1,62,Tomate_neu,Tomate,neu,55,LFP,SN,ncblock,vegetable,Tomate_alt,tomate_alt.png
train1,list1,63,Topf_schwarz,Topf,schwarz,56,LFP,SN,ncblock,tool,Topf_neu,topf_neu.png
train1,list1,64,Zelt_klein,Zelt,klein,63,HFP,SP,ncblock,building,Zelt_klein,zelt_klein.png
train1,list1,65,Zug_gross,Zug,gross,64,HFP,SP,ncblock,transportation,Zug_gross,zug_gross.png
train1,list1,66,Zwiebel_neu,Zwiebel,neu,66,LFP,SN,ncblock,vegetable,Zwiebel_alt,zwiebel_alt.png
