session,list1,trialNr,phrase_item,noun,adjective,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train4,picture_file
train4,list1,1,Apfel_rot,Apfel,rot,1,HFP,SP,cblock,food,Apfel_rot,apfel_rot.png
train4,list1,2,Bett_gruen,Bett,gruen,4,LFP,SP,cblock,furniture,Bett_gruen,bett_gruen.png
train4,list1,3,Blatt_gruen,Blatt,gruen,6,HFP,SP,cblock,nature,Blatt_gruen,blatt_gruen.png
train4,list1,4,Brief_gross,Brief,gross,9,LFP,SN,cblock,tool,Brief_schwarz,brief_schwarz.png
train4,list1,5,Brot_alt,Brot,alt,11,HFP,SN,cblock,food,Brot_rot,brot_rot.png
train4,list1,6,Burg_rot,Burg,rot,13,LFP,SN,cblock,building,Burg_gruen,burg_gruen.png
train4,list1,7,Bus_schwarz,Bus,schwarz,14,LFP,SP,cblock,transportation,Bus_schwarz,bus_schwarz.png
train4,list1,8,Ei_gruen,Ei,gruen,16,LFP,SP,cblock,food,Ei_gruen,ei_gruen.png
train4,list1,9,Fabrik_rot,Fabrik,rot,18,LFP,SN,cblock,building,Fabrik_weiss,fabrik_weiss.png
train4,list1,10,Flagge_schwarz,Flagge,schwarz,21,HFP,SP,cblock,etc,Flagge_schwarz,flagge_schwarz.png
train4,list1,11,Flugzeug_weiss,Flugzeug,weiss,22,LFP,SN,cblock,transportation,Flugzeug_gruen,flugzeug_gruen.png
train4,list1,12,Glas_neu,Glas,neu,25,HFP,SN,cblock,tool,Glas_gruen,glas_gruen.png
train4,list1,13,Hemd_weiss,Hemd,weiss,27,HFP,SN,cblock,clothing,Hemd_schwarz,hemd_schwarz.png
train4,list1,14,Hose_schwarz,Hose,schwarz,29,HFP,SN,cblock,clothing,Hose_weiss,hose_weiss.png
train4,list1,15,Hut_schwarz,Hut,schwarz,30,HFP,SP,cblock,clothing,Hut_schwarz,hut_schwarz.png
train4,list1,16,Kaffee_schwarz,Kaffee,schwarz,31,HFP,SP,cblock,food,Kaffee_schwarz,kaffee_schwarz.png
train4,list1,17,Kleid_weiss,Kleid,weiss,35,HFP,SP,cblock,clothing,Kleid_weiss,kleid_weiss.png
train4,list1,18,Mann_gruen,Mann,gruen,38,LFP,SP,cblock,human,Mann_gruen,mann_gruen.png
train4,list1,19,Mantel_schwarz,Mantel,schwarz,39,HFP,SN,cblock,clothing,Mantel_weiss,mantel_weiss.png
train4,list1,20,Mauer_gruen,Mauer,gruen,40,LFP,SN,cblock,building,Mauer_schwarz,mauer_schwarz.png
train4,list1,21,Paket_gross,Paket,gross,42,HFP,SN,cblock,etc,Paket_schwarz,paket_schwarz.png
train4,list1,22,Pflanze_rot,Pflanze,rot,45,LFP,SP,cblock,nature,Pflanze_rot,pflanze_rot.png
train4,list1,23,Rock_klein,Rock,klein,47,LFP,SN,cblock,clothing,Rock_gruen,rock_gruen.png
train4,list1,24,Tasse_neu,Tasse,neu,52,LFP,SN,cblock,tool,Tasse_rot,tasse_rot.png
train4,list1,25,Tisch_gruen,Tisch,gruen,54,HFP,SN,cblock,furniture,Tisch_schwarz,tisch_schwarz.png
train4,list1,26,Topf_schwarz,Topf,schwarz,56,LFP,SN,cblock,tool,Topf_gruen,topf_gruen.png
train4,list1,27,Tuer_neu,Tuer,neu,57,HFP,SN,cblock,building,Tuer_rot,tuer_rot.png
train4,list1,28,Turm_weiss,Turm,weiss,58,LFP,SP,cblock,building,Turm_weiss,turm_weiss.png
train4,list1,29,Uhr_klein,Uhr,klein,59,LFP,SN,cblock,tool,Uhr_gruen,uhr_gruen.png
train4,list1,30,Wolke_rot,Wolke,rot,60,LFP,SP,cblock,nature,Wolke_rot,wolke_rot.png
train4,list1,31,Wueste_rot,Wueste,rot,61,LFP,SP,cblock,nature,Wueste_rot,wueste_rot.png
train4,list1,32,Zweig_weiss,Zweig,weiss,65,LFP,SP,cblock,nature,Zweig_weiss,zweig_weiss.png
