item,picture,adj_lemma_en,n_lemma_en,name2_en,h_index_en,percentage_modal_name_en,percentage_valid_responses_en,number_different_responses_en,percentage_unknown_responses_en,percentage_idiosyncratic_responses_en,visual_complexity_en,freq_an_en,disp_an_en,lo_n_en,n_en,n_phon_disc_en,n_phon_strs_disc_en,n_phon_syl_disc_en,freq_n_en,disp_n_en,adj_en,freq_a_en,disp_a_en,n_lemma_de,name2_de,h_index_de,percentage_modal_name_de,percentage_valid_responses_de,number_different_responses_de,percentage_unknown_responses_de,percentage_idiosyncratic_responses_de,visual_complexity_de,adj_lemma_de,n_gender_de,freq_an_de,disp_an_de,lo_n_de,n_de,n_phon_disc_de,n_phon_strs_disc_de,n_phon_syl_disc_de,freq_n_de,disp_n_de,adj_de,freq_a_de,disp_a_de,adj_exponent_de,n_fr,name2_fr,h_index_fr,percentage_modal_name_fr,percentage_valid_responses_fr,number_different_responses_fr,percentage_unknown_responses_fr,percentage_idiosyncratic_responses_fr,visual_complexity_fr,n_gender_fr,n_onset_fr,freq_an_fr,disp_an_fr,lo_n_fr,n_lemma_fr,n_phon_sampa_fr,n_phon_syl_sampa_fr,freq_n_fr,disp_n_fr,adj_lemma_fr,adj_fr,freq_a_fr,disp_a_fr,adj_exponent_fr,lo_n_en_c,lo_n_de_c,lo_n_fr_c,lo_n_en_c_pred,lo_n_de_c_pred,lo_n_fr_c_pred,lo_n_diff_defr_c,lo_n_diff_enfr_c,lo_n_diff_ende_c,lo_n_en_int,lo_n_de_int,lo_n_fr_int,is_int_en,is_int_de,is_int_fr,n_sylcnt_en,n_sylcnt_de,n_sylcnt_fr,phonipa_en,phonipa_de,phonipa_fr,dist_en_de,dist_en_fr,dist_de_fr,picture_file,picture_size,continue_de
680,PICTURE_680,big,bow,NA,0.6498088,90.32258065,93,5,5,2,2.454545455,0.0183044232779966,0.00190241419040219,1.18097573316411,bow,b5,'b5,b5,11.6870651299567,0.268264962532265,big,88.3861583786036,0.758391164938417,Bogen,NA,0.144899618,97.93814433,97,2,2,1,2.39,groß,M,0.0268711829413776,0.00235668562028395,1.44910734385419,Bogen,bog@n,'bo-g@n,bo-g@n,11.389497994719,0.322651360726675,großer,74.873785691846,0.798455101383972,er,arc,NA,0,100,97,1,2,1,2.252525253,M,V,0.132289267635951,0.0096081509828934,1.42029532357898,arc,aRk,aRk,19.0174789774648,0.328079514604389,grand,grand,336.83695633348,0.973874006476303,,1.32899236480044,0.509143517345499,0.315070678597816,1.32899236480044,0.509143517345499,0.315070678597816,0.137548092081228,0.957396939536171,0.601282790735788,1.34261589863839,0.660357080200168,0.333304102377319,FALSE,FALSE,FALSE,1,2,1,boʊ,boːɡən,aʁk,4,3,6,PICTURE_680_BIG.jpg,500,Drücken Sie bitte die Leertaste um fortzufahren
338,PICTURE_338,big,present,NA,0.718129519,85,100,3,0,0,2.31,0.00586416016992112,0.000638603824477729,-0.837632561386537,present,prIzEnt,prI-'zEnt,prI-zEnt,28.1382077055622,0.624505416968106,big,88.3861583786036,0.758391164938417,Geschenk,NA,0.14372617,97.95918367,98,2,0,2,2.25,groß,N,0.0640593310120725,0.00520330436648428,3.70970472128357,Geschenk,g@SENk,g@-'SENk,g@-SENk,7.5548036629651,0.261513428459035,großes,28.2922566249314,0.628466187462003,es,cadeau,NA,0,100,99,1,0,1,1.787878788,M,C,0.0258265381501856,0.00271890229941452,0.726028070022613,cadeau,kado,ka-do,7.40644134821136,0.310142936578026,grand,grand,336.83695633348,0.973874006476303,,-0.331255753361781,1.97067499314441,-0.127615214195199,-0.331255753361781,1.97067499314441,-0.127615214195199,2.06052316206649,-0.241407584439702,-2.74213275543297,-0.339502350565678,2.18008955586921,-0.114483768059756,FALSE,FALSE,FALSE,2,2,2,pʁɪzɛnt,ɡəʃɛŋk,kadɔ,6,7,6,PICTURE_338_BIG.jpg,500,Drücken Sie bitte die Leertaste um fortzufahren
707,PICTURE_707,big,dog,NA,0.368556778,92.92929293,99,2,0,1,3.16,0.113442459517164,0.00898511115279155,1.89097532859973,dog,dQg,'dQg,dQg,35.6970352232465,0.466220983717835,big,88.3861583786036,0.758391164938417,Hund,NA,0.40217919,92,100,2,0,0,3.21,groß,M,0.0358543959246995,0.00252118871365733,1.64712828459302,Hund,hUnt,'hUnt,hUnt,12.4747015055077,0.242584844258484,großer,74.873785691846,0.798455101383972,er,chien,NA,0.337576423,94.94949495,99,3,1,0,2.646464646,M,C,0.113493287093316,0.00717136035063618,1.29268677657571,chien,Sj5,Sj5,18.5197083248119,0.387650050698329,grand,grand,336.83695633348,0.973874006476303,,1.912946911802,0.637168897117555,0.233703592265009,1.912946911802,0.637168897117555,0.233703592265009,0.350388283838805,1.62616629852325,1.03779737304367,1.93426276724279,0.793480677311276,0.250999256196749,FALSE,FALSE,FALSE,1,1,1,dɒɡ,hʊnt,ʃjɛ̃,4,4,4,PICTURE_707_BIG.jpg,500,Drücken Sie bitte die Leertaste um fortzufahren
559,PICTURE_559,big,cucumber,NA,0.972349602,81.72043011,93,4,4,3,2.6,NA,NA,NA,cucumber,kjukVmb@R,'kju-kVm-b@R,kju-kVm-b@R,1.22941274872276,0.0441105543795718,big,88.3861583786036,0.758391164938417,Gurke,NA,0.595467051,85.56701031,97,2,1,2,2.67,groß,F,NA,NA,NA,Gurke,gUrk@,'gUr-k@,gUr-k@,0.212968835312028,0.0108464757000322,große,214.082871405973,0.89048385366377,e,concombre,NA,0.758407344,86.73469388,98,4,1,1,2.252525253,M,C,NA,NA,NA,concombre,k§k§bR,k§-k§bR,0.402642903799769,0.0163093252216008,grand,grand,336.83695633348,0.973874006476303,,NA,NA,NA,-0.432377887730846,-0.432377887730846,-0.432377887730846,-0.0248534934317708,-0.0248534934317708,-0.0757877473954415,0.413403266977464,-0.478221261858837,-0.575469499322596,TRUE,TRUE,TRUE,3,2,2,kjuːkʌmbər,ɡʊʁkə,kɔ̃kɔ̃bʁ,8,7,7,PICTURE_559_BIG.jpg,500,Drücken Sie bitte die Leertaste um fortzufahren
17,PICTURE_17,big,devil,NA,0.477747375,91.75257732,97,3,1,2,3.18,0.0029789184249759,0.000314836151228531,-0.975530987539303,devil,dEvP,'dE-vP,dE-vP,16.4084447448475,0.288930271607585,big,88.3861583786036,0.758391164938417,Teufel,NA,0,100,96,1,0,4,3.04,groß,M,0.00145143615887733,0.000114436934520617,-1.40683073733462,Teufel,tXf@l,'tX-f@l,tX-f@l,10.671468604122,0.256381647176626,großer,74.873785691846,0.798455101383972,er,diable,NA,0.482146113,91.91919192,99,3,0,1,2.838383838,M,C,0.0912896383225312,0.00713456317665914,1.26825613773372,diable,djabl,djabl,15.2621927198522,0.338108788800576,grand,grand,336.83695633348,0.973874006476303,,-0.444673301053285,-1.33729027943112,0.218125874733512,-0.444673301053285,-1.33729027943112,0.218125874733512,-1.60783310857449,-0.715216130196649,0.954055916086347,-0.454413925928902,-1.25960526860962,0.235242004670865,FALSE,FALSE,FALSE,2,2,1,dɛvəl,tɔʏfəl,djabl,4,3,5,PICTURE_17_BIG.jpg,500,Drücken Sie bitte die Leertaste um fortzufahren
579,PICTURE_579,big,elephant,NA,0,100,99,1,0,1,2.909090909,0.00957375669913639,0.000899850843582255,1.08596208156387,elephant,ElIf@nt,'E-lI-f@nt,E-lI-f@nt,6.72070226144972,0.16263631735484,big,88.3861583786036,0.758391164938417,Elefant,NA,0,100,100,1,0,0,2.74,groß,M,0.00286364431346068,0.000228873869041233,1.74946303291481,Elefant,elef&nt,e-le-'f&nt,e-le-f&nt,0.899458910456712,0.0385974323212817,großer,74.873785691846,0.798455101383972,er,éléphant,NA,0,100,100,1,0,0,2.484848485,M,V,0.0115143315919578,0.00094446079874399,0.92536228437062,éléphant,elef@,e-le-f@,2.70737447216884,0.114496451116999,grand,grand,336.83695633348,0.973874006476303,,1.250846328893,0.703330813977924,-0.000513663328695761,1.250846328893,0.703330813977924,-0.000513663328695761,0.660691823464089,1.20820733837916,0.299501658330902,1.26344045994048,0.862277289201046,0.0140826347064875,FALSE,FALSE,FALSE,3,3,3,ɛlɪfənt,eːleːfant,elefãː,5,5,5,PICTURE_579_BIG.jpg,500,Drücken Sie bitte die Leertaste um fortzufahren
152,PICTURE_152,big,snail,NA,0,100,99,1,1,0,3.38,0.000992972808325301,0.000109411144753177,0.407515289620294,snail,sn1l,'sn1l,sn1l,1.37275680450572,0.0646977126372105,big,88.3861583786036,0.758391164938417,Schnecke,NA,0.286396957,95,100,2,0,0,3.46,groß,F,0.00176526019322919,0.000160926939169617,0.196180194505548,Schnecke,SnEk@,'SnE-k@,SnE-k@,0.915463936208656,0.0335622072023746,große,214.082871405973,0.89048385366377,e,escargot,NA,0,100,99,1,0,1,2.98989899,M,V,0.00243917304751753,0.000224871618748569,1.05944785369622,escargot,EskaRgo,Es-kaR-go,0.501859854526732,0.0299937853661728,grand,grand,336.83695633348,0.973874006476303,,0.692843068608038,-0.300904518602581,0.0849833692095718,0.692843068608038,-0.300904518602581,0.0849833692095718,-0.432663263391423,0.561084323819196,0.898022379802037,0.698086729391047,-0.181948629575456,0.100565024934588,FALSE,FALSE,FALSE,1,2,3,sneɪl,ʃnɛkə,ɛːskaʁɡɔ,4,6,7,PICTURE_152_BIG.jpg,500,Drücken Sie bitte die Leertaste um fortzufahren
365,PICTURE_365,big,hedgehog,NA,0,100,95,1,3,2,3.51,NA,NA,NA,hedgehog,hE_hQg,'hE_-hQg,hE_-hQg,0.774350172469679,0.0278127595723587,big,88.3861583786036,0.758391164938417,Igel,NA,0,100,100,1,0,0,3.6,groß,M,NA,NA,NA,Igel,ig@l,'i-g@l,i-g@l,1.10925027742093,0.0384937238493724,großer,74.873785691846,0.798455101383972,er,hérisson,NA,0,100,99,1,0,1,3.050505051,M,V,0.000394572110627836,3.27085990907009e-05,-1.06083680958831,hérisson,eRis§,e-Ri-s§,0.673642203417342,0.0274506917868708,grand,grand,336.83695633348,0.973874006476303,,NA,NA,-1.26697454661232,-0.432377887730846,-0.432377887730846,-1.26697454661232,0.845107099936977,0.845107099936977,-0.0757877473954415,0.396212844385707,-0.855499469916391,-1.26697427528316,TRUE,TRUE,FALSE,2,2,3,hɛdʒhɒɡ,iːɡəl,eʁisɔ̃,7,7,6,PICTURE_365_BIG.jpg,500,Drücken Sie bitte die Leertaste um fortzufahren
115,PICTURE_115,big,hippo,NA,0.255930044,95.69892473,93,2,6,1,3.02,0.000543324744177995,3.79589685878371e-05,0.428138302134389,hippo,hIp5,'hI-p5,hI-p5,0.735811586305054,0.00686610755338817,big,88.3861583786036,0.758391164938417,Nilpferd,NA,0.672867158,88.65979381,97,4,1,2,2.87,groß,N,NA,NA,NA,Nilpferd,nil+ert,'nil-+ert,nil-+ert,0.113133564383844,0.00562886671673283,großes,28.2922566249314,0.628466187462003,es,hippopotame,NA,0.376715003,92.70833333,96,2,4,0,2.646464646,M,V,0.000932624988756704,9.40372223857652e-05,0.679634716414185,hippopotame,ipopotam,i-po-po-tam,0.280110328353888,0.0167631570339842,grand,grand,336.83695633348,0.973874006476303,,0.709804911977944,NA,-0.157197025891783,0.709804911977944,-0.432377887730846,-0.157197025891783,-0.311694452237039,0.830488347471751,1.06639505231335,0.715272007880772,1.23915782336988,-0.144406511655015,FALSE,TRUE,FALSE,2,2,4,hɪpoʊ,niːlpfeːʁt,ipɔpɔtam,9,7,8,PICTURE_115_BIG.jpg,500,Drücken Sie bitte die Leertaste um fortzufahren
691,PICTURE_691,big,man,NA,0.144899618,97.93814433,97,2,2,1,2.838383838,0.968710548197352,0.0530175147146825,1.47138049240803,man,m{n,'m{n,m{n,465.576266024308,0.861311326063074,big,88.3861583786036,0.758391164938417,Mann,NA,0.149811367,97.84946237,93,2,0,7,2.97,groß,M,0.24815635516373,0.0181382541215177,1.03023179032361,Mann,m&n,'m&n,m&n,159.895385358494,0.688892465043093,großer,74.873785691846,0.798455101383972,er,homme,NA,0.4010784,93.61702128,94,3,0,6,3.060606061,M,V,2.86280001356433,0.14599892061623,1.23210991343175,homme,Om,Om,497.813732753395,0.921049618944821,grand,grand,336.83695633348,0.973874006476303,,1.56784204967573,0.238330230539071,0.195077943991787,1.56784204967573,0.238330230539071,0.195077943991787,-0.0081880697607862,1.32132374937587,1.15201361602566,1.58461190474747,0.378759486431326,0.211928445343951,FALSE,FALSE,FALSE,1,1,1,mæn,man,om,1,3,3,PICTURE_691_BIG.jpg,500,Drücken Sie bitte die Leertaste um fortzufahren
