picture_file_nv,n_en,n_de,n_fr,adj_en,adj_de,adj_fr,continue_text_de,continue_text_en,continue_text_fr,n_foil_en,n_foil_de,n_foil_fr,correct_noun,ver_n_de,ver_n_en,ver_n_fr,adj_foil_en,adj_foil_de,adj_lemma_de,adj_foil_fr,adj_lemma_fr,ver_adj_en,ver_adj_de,ver_adj_fr
"PICTURE_405_BIG.jpg","anchor","Anker","ancre","big","großer","grande","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","hedgehog","Igel","hérisson",FALSE,"Igel","hedgehog","hérisson","old","alt","groß","vieux","grand","old","alt","vieux"
"PICTURE_405_LITTLE.jpg","anchor","Anker","ancre","little","kleiner","petite","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","basket","Korb","panier",FALSE,"Korb","basket","panier","new","neu","klein","nouveau","petit","new","neu","nouveau"
"PICTURE_405_NEW.jpg","anchor","Anker","ancre","new","neuer","nouvelle","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","pipe","Pfeife","pipe",FALSE,"Pfeife","pipe","pipe","big","groß","neu","grand","nouveau","big","groß","grand"
"PICTURE_405_OLD.jpg","anchor","Anker","ancre","old","alter","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","computer","Computer","ordinateur",FALSE,"Computer","computer","ordinateur","little","klein","alt","petit","vieux","little","klein","petit"
"PICTURE_405_BIG.jpg","anchor","Anker","ancre","big","großer","grande","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","hedgehog","Igel","hérisson",TRUE,"Anker","anchor","ancre","old","alt","groß","vieux","grand","big","groß","grand"
"PICTURE_405_LITTLE.jpg","anchor","Anker","ancre","little","kleiner","petite","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","basket","Korb","panier",TRUE,"Anker","anchor","ancre","new","neu","klein","nouveau","petit","little","klein","petit"
"PICTURE_405_NEW.jpg","anchor","Anker","ancre","new","neuer","nouvelle","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","pipe","Pfeife","pipe",TRUE,"Anker","anchor","ancre","big","groß","neu","grand","nouveau","new","neu","nouveau"
"PICTURE_405_OLD.jpg","anchor","Anker","ancre","old","alter","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","computer","Computer","ordinateur",TRUE,"Anker","anchor","ancre","little","klein","alt","petit","vieux","old","alt","vieux"
"PICTURE_585_BIG.jpg","ant","Ameise","fourmi","big","große","grande","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","cow","Kuh","vache",FALSE,"Kuh","cow","vache","little","klein","groß","petit","grand","little","klein","petit"
"PICTURE_585_LITTLE.jpg","ant","Ameise","fourmi","little","kleine","petite","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","cow","Kuh","vache",FALSE,"Kuh","cow","vache","big","groß","klein","grand","petit","big","groß","grand"
